"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Matt Olson","ATL","616",".240",".325",".477",".802","148","75","86","103","70","44","0","34","6","170","4","4","13","0","175","190","1087","1806","10.7%","24.3%","0.44",".237",".274","0.92",".344","16.2","3.0","-0.8","3.1","$24.8","61","13.6%",".347","14344"
"David Villar","SFG","156",".231",".331",".455",".787","36","18","21","24","20","6","1","9","0","58","6","1","4","0","37","44","282","448","9.9%","32.0%","0.31",".224",".300","0.84",".344","5.1","-0.8","-0.3","0.9","$7.4","9","9.1%",".285","24782"
"Danny Mendick","CHW","97",".289",".343",".443",".786","28","7","22","15","20","4","1","3","0","23","1","0","2","1","31","24","155","267","6.6%","21.7%","0.30",".155",".352","1.29",".344","3.0","-0.4","1.0","0.8","$6.7","3","4.0%",".273","18889"
"Josh Bell","- - -","552",".266",".362",".422",".784","147","81","78","71","98","29","3","17","4","102","5","6","22","0","230","141","995","1510","12.5%","15.8%","0.79",".156",".296","1.63",".344","17.0","-2.0","-5.6","2.0","$15.7","33","7.2%",".349","13145"
"Mark Canha","NYM","462",".266",".367",".403",".770","123","48","71","61","86","24","0","13","1","97","28","4","3","3","167","128","803","1415","8.9%","17.9%","0.49",".136",".309","1.30",".343","17.7","-2.8","-1.0","2.8","$22.3","18","4.9%",".323","11445"
"Travis d'Arnaud","ATL","396",".268",".319",".472",".791","106","19","61","60","62","25","1","18","0","90","11","0","12","0","138","111","525","1108","4.5%","21.1%","0.21",".205",".306","1.24",".343","9.7","9.9","-3.6","3.9","$31.3","26","8.5%",".313","7739"
"Gunnar Henderson","BAL","116",".259",".348",".440",".788","30","16","12","18","18","7","1","4","1","34","0","0","1","1","49","20","216","323","12.1%","25.8%","0.47",".181",".333","2.45",".343","3.8","-0.5","-0.2","0.8","$6.2","8","9.8%",".338","26289"
"J.D. Martinez","BOS","533",".274",".341",".448",".790","146","52","76","62","86","43","1","16","1","145","5","5","20","0","150","156","862","1529","8.7%","24.3%","0.36",".174",".345","0.96",".343","13.1","","-7.3","1.0","$8.2","49","12.4%",".349","6184"
"Justin Turner","LAD","468",".278",".350",".438",".788","130","50","61","81","81","36","0","13","1","89","6","8","13","3","124","168","795","1349","9.4%","16.7%","0.56",".160",".313","0.74",".343","14.5","-0.8","-3.1","2.4","$19.2","31","8.0%",".339","5235"
"Darick Hall","PHI","136",".250",".282",".522",".804","34","5","19","16","16","8","1","9","0","44","1","0","3","0","31","42","177","366","3.5%","31.0%","0.11",".272",".301","0.74",".343","3.3","-0.1","-0.5","0.4","$3.2","16","17.4%",".312","19717"
"Lars Nootbaar","STL","290",".228",".340",".448",".788","66","51","53","40","33","16","3","14","1","71","1","5","3","4","96","85","564","825","14.7%","20.5%","0.72",".221",".248","1.13",".342","9.9","6.4","1.4","2.7","$21.3","27","12.1%",".346","21454"
"Andrew Benintendi","- - -","461",".304",".373",".399",".772","140","52","54","51","109","23","3","5","0","77","2","5","7","8","167","133","745","1181","10.0%","14.8%","0.68",".095",".352","1.26",".342","12.9","2.0","0.6","2.8","$22.4","20","5.1%",".334","17901"
"Kerry Carpenter","DET","103",".252",".310",".485",".795","26","6","16","10","15","4","1","6","0","32","3","1","0","0","29","32","149","283","5.3%","28.3%","0.19",".233",".303","0.91",".342","3.3","0.4","-0.1","0.5","$4.3","8","11.1%",".292","25961"
"Francisco Lindor","NYM","630",".270",".339",".449",".788","170","59","98","107","114","25","5","26","2","133","10","7","11","16","217","196","1042","1787","8.4%","18.8%","0.44",".179",".301","1.11",".342","22.1","9.0","3.3","6.8","$54.6","42","8.3%",".331","12916"
"Steven Kwan","CLE","563",".298",".373",".400",".772","168","62","89","52","130","25","7","6","2","60","7","4","9","19","214","177","989","1654","9.7%","9.4%","1.03",".101",".323","1.21",".341","17.1","5.9","4.9","4.4","$34.9","7","1.4%",".312","24610"
"Oscar Gonzalez","CLE","362",".296",".327",".461",".789","107","15","39","43","69","27","0","11","2","75","3","2","6","1","147","82","400","1009","3.9%","19.6%","0.20",".166",".345","1.79",".339","9.6","-0.6","-1.3","1.6","$12.9","21","7.3%",".320","20970"
"Ian Happ","CHC","573",".271",".342",".440",".781","155","58","72","72","94","42","2","17","4","149","6","4","11","9","198","143","952","1620","9.0%","23.2%","0.39",".169",".336","1.38",".339","14.6","3.8","0.7","3.5","$27.9","28","6.5%",".306","17919"
"Mike Brosseau","MIL","141",".255",".344",".418",".762","36","14","15","23","25","5","0","6","0","48","5","0","0","2","38","40","245","441","8.8%","30.0%","0.29",".163",".345","0.95",".338","3.3","-4.3","0.8","0.6","$4.8","8","8.6%",".300","19683"
"Dustin Garneau","DET","10",".300",".364",".400",".764","3","1","1","1","2","1","0","0","0","4","0","0","0","0","0","5","16","36","9.1%","36.4%","0.25",".100",".500","0.00",".338","0.3","-0.3","0.0","0.1","$0.5","1","16.7%",".334","9433"
"Dylan Moore","SEA","205",".224",".368",".385",".753","46","34","41","24","27","11","2","6","2","75","13","1","5","21","42","65","458","675","13.3%","29.4%","0.45",".161",".320","0.65",".338","7.5","3.0","2.5","2.1","$17.0","17","12.8%",".322","18042"
"Edwin Rios","LAD","86",".244",".293",".500",".793","21","5","12","17","13","1","0","7","1","36","1","0","2","0","19","17","108","239","5.4%","39.1%","0.14",".256",".326","1.12",".338","2.1","-1.4","-0.7","0.1","$0.8","7","14.0%",".312","18316"
"Dansby Swanson","ATL","640",".277",".329",".447",".776","177","49","99","96","119","32","1","25","0","182","3","4","12","18","179","185","982","1769","7.0%","26.1%","0.27",".170",".348","0.97",".337","12.6","14.0","3.1","6.4","$50.8","50","10.8%",".337","18314"
"Ty France","SEA","551",".274",".338",".436",".774","151","35","65","83","103","27","1","20","3","94","21","5","18","0","221","142","768","1443","5.7%","15.3%","0.37",".162",".296","1.56",".337","17.8","-1.5","-2.8","2.4","$19.2","25","5.4%",".321","17982"
"Jake McCarthy","ARI","321",".283",".342",".427",".769","91","23","53","43","64","16","3","8","0","76","6","1","3","23","117","68","430","833","6.5%","21.5%","0.30",".143",".349","1.72",".337","6.6","0.0","7.7","2.3","$18.8","12","4.8%",".298","21622"
"Francisco Alvarez","NYM","12",".167",".286",".500",".786","2","2","3","1","0","1","0","1","0","4","0","0","1","0","4","3","23","36","14.3%","28.6%","0.50",".333",".143","1.33",".336","0.4","-0.1","-0.2","0.0","$0.3","3","37.5%",".420","26121"
"Kolten Wong","MIL","430",".251",".339",".430",".770","108","46","65","47","65","24","4","15","2","88","14","5","5","17","143","126","799","1250","9.3%","17.7%","0.52",".179",".280","1.13",".336","9.6","-7.7","3.4","2.5","$19.8","19","5.4%",".305","12532"
"Anthony Santander","BAL","574",".240",".318",".455",".773","138","55","78","89","81","24","0","33","1","122","13","5","14","0","143","227","932","1686","8.5%","18.9%","0.45",".214",".248","0.63",".336","14.7","-2.8","0.3","2.5","$20.1","53","11.6%",".352","14551"
"Randy Arozarena","TBR","586",".263",".327",".445",".773","154","46","72","89","90","41","3","20","2","156","11","2","17","32","219","142","907","1620","7.1%","24.2%","0.29",".183",".325","1.54",".336","18.1","0.2","-4.3","2.7","$21.9","34","7.9%",".301","19290"
"Ronald Acuna Jr.","ATL","467",".266",".351",".413",".764","124","53","71","50","85","24","0","15","4","126","10","3","8","29","164","117","827","1335","9.9%","23.6%","0.42",".148",".331","1.40",".335","8.8","-3.7","4.8","2.2","$17.5","44","12.8%",".366","18401"
"C.J. Cron","COL","575",".257",".315",".468",".783","148","43","79","102","88","28","3","29","6","164","8","5","16","0","164","167","868","1632","6.8%","25.9%","0.26",".210",".307","0.98",".335","1.0","1.1","0.5","1.3","$10.1","45","10.8%",".321","12546"
"Seiya Suzuki","CHC","397",".262",".336",".433",".770","104","42","54","46","66","22","2","14","3","110","4","3","8","9","116","116","710","1166","9.4%","24.7%","0.38",".171",".326","1.00",".334","8.4","1.0","-0.4","2.0","$16.1","32","11.0%",".327","30116"
"Keston Hiura","MIL","234",".226",".316",".449",".765","53","23","34","32","30","8","1","14","0","111","8","1","3","5","46","47","403","743","8.6%","41.7%","0.21",".222",".355","0.98",".334","4.7","-1.4","0.7","0.8","$6.6","19","15.3%",".317","20003"
"J.D. Davis","- - -","318",".248",".340",".418",".758","79","39","46","35","50","16","1","12","1","122","6","2","13","1","89","67","547","939","10.7%","33.4%","0.32",".170",".360","1.33",".333","8.2","-1.7","-3.1","0.9","$7.5","32","16.2%",".353","16219"
"Gosuke Katoh","TOR","7",".143",".400",".286",".686","1","3","2","0","0","1","0","0","0","1","0","0","0","0","3","2","20","18","27.3%","9.1%","3.00",".143",".167","1.50",".333","0.2","0.5","0.2","0.1","$0.9","0","0.0%",".351","15697"
"Jorge Polanco","MIN","375",".235",".346",".405",".751","88","64","54","56","56","16","0","16","1","95","2","4","4","3","84","135","751","1149","14.4%","21.3%","0.67",".171",".269","0.62",".333","9.6","-8.3","0.9","1.8","$14.6","29","10.2%",".358","13152"
"Gio Urshela","MIN","501",".285",".338",".429",".767","143","41","61","64","100","27","3","13","2","96","2","7","21","1","175","143","652","1365","7.4%","17.4%","0.43",".144",".326","1.22",".332","11.8","-2.2","-6.2","2.4","$18.9","29","7.0%",".323","10681"
"Alex Call","- - -","114",".237",".336",".412",".748","27","15","18","13","18","3","1","5","0","30","2","0","2","3","30","35","202","368","11.5%","22.9%","0.50",".175",".278","0.86",".332","2.0","1.0","0.3","0.6","$5.1","1","1.2%",".279","19296"
"Josh Naylor","CLE","449",".256",".319",".452",".771","115","38","47","79","67","28","0","20","4","80","6","5","13","6","183","126","639","1129","7.6%","16.1%","0.48",".196",".268","1.45",".331","9.4","3.7","-3.6","1.7","$13.3","32","8.6%",".327","18839"
"Sean Murphy","OAK","537",".250",".332",".426",".759","134","56","67","66","77","37","2","18","2","124","13","5","14","1","176","157","851","1521","9.2%","20.3%","0.45",".177",".290","1.12",".331","15.2","9.7","-1.4","5.1","$40.6","44","10.5%",".344","19352"
"Corey Seager","TEX","593",".245",".317",".455",".772","145","58","91","83","87","24","1","33","7","103","7","5","14","3","198","193","827","1441","8.7%","15.5%","0.56",".211",".242","1.03",".331","12.5","1.0","2.6","4.5","$36.0","52","10.5%",".372","13624"
"Matt Chapman","TOR","538",".229",".324",".433",".757","123","68","83","76","68","27","1","27","1","170","10","5","7","2","127","181","1050","1587","11.0%","27.4%","0.40",".204",".277","0.70",".331","12.0","2.4","3.1","4.1","$33.1","48","12.9%",".341","16505"
"Garrett Cooper","MIA","414",".261",".337",".415",".752","108","40","37","50","64","33","2","9","0","119","10","5","6","0","133","88","655","1206","8.5%","25.4%","0.34",".155",".340","1.51",".330","8.4","1.4","-2.2","1.4","$11.2","32","10.7%",".341","15279"
"Evan Longoria","SFG","266",".244",".315",".451",".767","65","27","31","42","38","13","0","14","2","83","2","3","6","0","68","77","450","737","9.1%","27.9%","0.33",".207",".297","0.88",".330","5.1","0.1","-2.3","1.3","$10.1","23","12.4%",".324","9368"
"Cal Raleigh","SEA","370",".211",".284",".489",".774","78","38","46","63","30","20","1","27","0","122","2","5","5","1","72","141","596","1046","9.2%","29.4%","0.31",".278",".226","0.51",".330","9.7","10.2","-1.0","4.2","$33.5","39","15.4%",".324","21534"
"DJ LeMahieu","NYY","467",".261",".357",".377",".734","122","67","74","46","92","18","0","12","0","71","4","2","12","4","211","112","787","1365","12.4%","13.1%","0.94",".116",".285","1.88",".329","10.0","6.7","-4.0","3.0","$23.6","21","5.3%",".344","9874"
"Jared Young","CHC","19",".263",".364",".368",".732","5","3","2","0","3","2","0","0","0","7","0","0","0","1","4","4","38","60","13.6%","31.8%","0.43",".105",".417","1.00",".329","0.3","0.0","0.3","0.1","$0.8","1","8.3%",".315","20404"
"Jose Miranda","MIN","444",".268",".325",".426",".751","119","28","45","66","79","25","0","15","0","91","10","1","19","1","149","133","618","1194","5.8%","18.8%","0.31",".158",".307","1.12",".329","9.1","-2.4","-4.5","1.1","$8.9","22","6.2%",".317","20538"
"Gleyber Torres","NYY","526",".257",".310",".451",".761","135","39","73","76","82","28","1","24","2","129","3","3","12","10","142","183","804","1422","6.8%","22.6%","0.30",".194",".295","0.78",".328","10.0","-3.0","-0.2","2.7","$21.8","43","10.7%",".319","16997"
"Gavin Lux","LAD","421",".276",".346",".399",".745","116","47","66","42","83","20","7","6","0","95","0","3","3","7","161","97","711","1133","10.0%","20.2%","0.49",".124",".341","1.66",".328","7.4","1.5","3.2","3.0","$23.8","20","6.1%",".314","19955"
"Christian Yelich","MIL","575",".252",".355",".383",".738","145","88","99","57","102","25","4","14","5","162","5","2","9","19","242","95","1092","1655","13.1%","24.1%","0.54",".130",".327","2.55",".328","8.5","-3.8","3.4","2.3","$18.1","34","8.2%",".339","11477"
"Harold Ramirez","TBR","403",".300",".343",".404",".747","121","19","46","58","91","24","0","6","1","72","9","4","5","3","176","94","475","1103","4.4%","16.6%","0.26",".104",".350","1.87",".327","9.3","-0.9","-2.3","1.2","$9.6","16","4.8%",".314","14387"
"Rowdy Tellez","MIL","529",".219",".306",".461",".767","116","62","67","89","58","23","0","35","9","121","5","3","20","2","160","187","888","1504","10.4%","20.2%","0.51",".242",".215","0.86",".327","7.3","-2.1","-6.6","0.8","$6.6","53","12.9%",".349","15679"
"Giancarlo Stanton","NYY","398",".211",".297",".462",".759","84","50","53","78","46","7","0","31","2","137","0","3","8","0","123","102","710","1131","11.1%","30.3%","0.36",".251",".227","1.21",".327","7.4","0.5","-2.6","1.2","$9.3","51","19.2%",".351","4949"
"Luis Urias","MIL","406",".239",".335",".404",".739","97","50","54","47","63","17","1","16","0","99","11","5","9","1","114","135","735","1239","10.6%","21.0%","0.51",".165",".274","0.84",".327","5.7","-2.4","0.2","2.3","$18.3","26","8.3%",".326","16622"
"Lourdes Gurriel Jr.","TOR","453",".291",".343",".400",".743","132","31","52","52","94","32","1","5","1","83","6","2","11","3","166","118","638","1214","6.3%","16.8%","0.37",".108",".346","1.41",".327","7.9","-3.5","-4.1","1.0","$8.1","14","3.8%",".321","19238"
"Andrew Vaughn","CHW","510",".271",".321",".429",".750","138","31","60","76","92","28","1","17","0","96","9","5","13","0","200","143","686","1401","5.6%","17.3%","0.32",".159",".301","1.40",".327","8.1","-18.6","-3.2","-0.4","($3.5)","33","7.9%",".319","26197"
"Jake Burger","CHW","168",".250",".302",".458",".761","42","10","20","26","24","9","1","8","1","56","3","1","7","0","48","48","218","464","5.5%","30.6%","0.18",".208",".324","1.00",".327","2.7","-4.6","-1.0","0.3","$2.1","17","14.9%",".318","22275"
"Chas McCormick","HOU","359",".245",".332",".407",".738","88","46","47","44","60","12","2","14","0","106","1","1","5","4","107","87","574","1010","11.3%","26.0%","0.43",".162",".308","1.23",".326","6.4","2.6","-1.1","2.0","$16.0","26","10.2%",".325","19599"
"Edward Olivares","KCR","161",".286",".333",".410",".743","46","10","24","15","34","8","0","4","0","36","2","1","1","2","58","37","231","458","5.7%","20.7%","0.28",".124",".344","1.57",".326","2.0","-2.3","0.5","0.4","$2.8","8","6.3%",".339","19698"
"Josh Rojas","ARI","443",".269",".349",".391",".739","119","55","66","56","84","25","1","9","2","98","2","5","7","23","143","121","810","1223","10.8%","19.2%","0.56",".122",".323","1.18",".326","5.0","-4.0","6.2","2.7","$21.4","16","4.5%",".308","19734"
"Ryan McMahon","COL","529",".246",".327",".414",".741","130","60","67","67","84","23","3","20","0","158","5","3","7","7","165","121","964","1595","10.1%","26.5%","0.38",".168",".311","1.36",".326","-3.4","8.3","2.1","3.1","$24.5","39","10.4%",".330","15112"
"Gabriel Moreno","TOR","69",".319",".356",".377",".733","22","4","10","7","20","1","0","1","0","8","0","0","2","0","35","15","80","185","5.5%","11.0%","0.50",".058",".350","2.33",".326","1.1","2.7","-0.3","0.7","$5.8","2","3.3%",".299","22664"
"David Bote","CHC","116",".259",".315",".431",".746","30","6","15","12","18","8","0","4","0","45","4","1","3","1","35","21","161","333","4.7%","35.4%","0.13",".172",".382","1.67",".325","1.5","-0.8","-0.2","0.5","$4.0","5","6.9%",".289","14593"
"Willy Adames","MIL","563",".238",".298",".458",".756","134","49","83","98","72","31","0","31","3","166","1","4","11","8","137","184","888","1578","7.9%","26.9%","0.30",".220",".278","0.74",".325","6.4","8.8","2.4","4.7","$37.2","52","13.0%",".323","15986"
"Adolis Garcia","TEX","605",".250",".300",".456",".756","151","40","88","101","85","34","5","27","2","183","6","6","9","25","174","170","853","1684","6.1%","27.9%","0.22",".207",".309","1.02",".324","8.8","5.9","6.0","3.8","$30.4","55","12.9%",".322","19287"
"Luis Robert","CHW","380",".284",".319",".426",".746","108","17","54","56","78","18","0","12","1","77","3","1","6","11","137","100","397","952","4.2%","19.2%","0.22",".142",".329","1.37",".324","5.1","-3.4","4.4","2.1","$16.6","27","8.9%",".327","20043"
"Salvador Perez","KCR","445",".254",".292",".465",".757","113","18","48","76","66","23","1","23","2","109","7","3","9","0","122","156","559","1141","3.8%","23.0%","0.17",".211",".285","0.78",".324","4.5","-12.6","-3.2","0.5","$4.0","38","11.2%",".326","7304"
"Wander Franco","TBR","314",".277",".328",".417",".746","87","26","46","33","58","20","3","6","1","33","0","4","5","8","126","89","428","788","7.6%","9.6%","0.79",".140",".290","1.42",".323","6.3","-1.1","4.0","2.3","$18.6","13","4.6%",".331","23667"
"Seby Zavala","CHW","178",".270",".347",".382",".729","48","19","22","21","32","14","0","2","0","64","3","2","1","0","33","55","308","567","9.3%","31.2%","0.30",".112",".404","0.60",".323","2.5","5.9","-0.7","1.9","$14.9","11","9.2%",".283","18887"
"Seth Brown","OAK","500",".230",".305",".444",".749","115","51","55","73","61","26","3","25","3","146","3","1","7","11","127","156","804","1394","9.2%","26.3%","0.35",".214",".273","0.81",".323","10.3","-5.7","2.4","1.8","$14.5","46","13.0%",".338","18171"
"T.J. Friedl","CIN","225",".240",".314",".436",".750","54","20","33","25","31","10","5","8","0","40","7","6","3","7","58","90","373","623","7.8%","15.5%","0.50",".196",".251","0.64",".323","0.4","-3.2","0.9","0.5","$4.3","9","4.7%",".283","19522"
"Yonathan Daza","COL","372",".301",".349",".384",".733","112","26","56","34","87","21","2","2","0","58","4","5","12","0","176","66","496","1040","6.4%","14.2%","0.45",".083",".347","2.67",".323","-3.1","-4.1","-0.1","0.7","$5.5","6","1.9%",".308","15794"
"Isaac Paredes","TBR","331",".205",".304",".435",".740","68","44","48","45","32","16","0","20","0","67","4","2","12","0","112","121","646","971","11.5%","17.6%","0.66",".230",".195","0.93",".323","6.9","4.9","-0.7","2.4","$19.3","17","6.4%",".297","20036"
"Tim Anderson","CHW","332",".301",".339",".395",".734","100","14","50","25","81","13","0","6","1","55","5","0","10","13","152","58","343","802","4.0%","15.7%","0.25",".093",".347","2.62",".323","4.1","-2.4","2.8","2.0","$16.1","16","5.8%",".340","15172"
"Daulton Varsho","ARI","531",".235",".302",".443",".745","125","46","79","74","72","23","3","27","0","145","7","5","8","16","153","168","777","1544","7.8%","24.5%","0.32",".207",".269","0.91",".323","4.3","18.7","3.4","4.6","$37.0","40","10.2%",".298","19918"
"Christopher Morel","CHC","379",".235",".308",".433",".741","89","38","55","47","50","19","4","16","0","137","3","2","6","10","120","78","589","1059","8.9%","32.2%","0.28",".198",".320","1.54",".322","4.0","-6.7","1.9","1.6","$12.7","33","13.4%",".324","21897"
"Eric Haase","DET","323",".254",".305",".443",".748","82","24","41","44","50","17","1","14","1","97","1","3","9","0","90","94","464","912","6.8%","27.6%","0.25",".189",".316","0.96",".322","4.7","-5.4","-1.5","1.3","$10.5","20","8.7%",".302","14111"
"Oswaldo Cabrera","NYY","154",".247",".312",".429",".740","38","15","21","19","23","8","1","6","0","44","0","1","1","3","31","55","245","471","8.8%","25.7%","0.34",".182",".305","0.56",".322","2.2","8.0","0.4","1.5","$12.3","7","6.3%",".287","21707"
"Ji-Man Choi","TBR","356",".233",".341",".388",".729","83","58","36","52","50","22","0","11","3","123","2","3","3","0","106","75","770","1070","13.8%","29.4%","0.47",".154",".320","1.41",".322","7.3","2.4","-2.7","1.3","$10.3","28","11.9%",".337","5452"
"Alan Trejo","COL","118",".271",".312",".424",".736","32","5","15","17","22","6","0","4","0","31","2","0","3","1","34","32","151","343","4.0%","24.8%","0.16",".153",".337","1.06",".321","-1.1","-0.5","0.1","0.4","$3.1","4","4.6%",".291","20056"
"Nick Gordon","MIN","405",".272",".316",".427",".743","110","19","45","50","69","28","4","9","1","105","10","6","8","6","124","108","469","1081","4.3%","23.7%","0.18",".156",".340","1.15",".321","5.5","-3.5","-0.6","1.5","$12.2","29","9.4%",".333","16337"
"Brendan Rodgers","COL","527",".266",".325",".408",".733","140","46","72","63","94","30","3","13","0","101","3","5","25","0","225","115","751","1361","7.9%","17.4%","0.46",".142",".304","1.96",".321","-5.4","1.7","-1.7","1.7","$13.4","31","7.2%",".326","17907"
"Orlando Arcia","ATL","209",".244",".316",".416",".733","51","21","25","30","33","9","0","9","0","51","2","2","7","0","73","60","344","576","9.0%","21.8%","0.41",".172",".278","1.22",".321","1.2","-2.3","-0.1","0.7","$5.3","12","7.5%",".329","13185"
"Oneil Cruz","PIT","331",".233",".294",".450",".744","77","28","45","54","43","13","4","17","1","126","1","1","3","10","101","71","549","910","7.8%","34.9%","0.22",".218",".317","1.42",".320","2.5","-7.8","2.0","1.2","$9.7","32","15.5%",".304","21711"
"Jurickson Profar","SDP","575",".243",".331",".391",".723","140","73","82","58","87","36","2","15","0","103","4","3","12","5","208","163","1065","1725","11.1%","15.7%","0.71",".148",".272","1.28",".320","7.7","2.4","-1.4","2.5","$20.0","19","4.0%",".315","10815"
"Sam Haggerty","SEA","176",".256",".335",".403",".738","45","18","29","23","30","9","1","5","3","53","4","2","4","13","54","38","252","483","9.0%","26.4%","0.34",".148",".333","1.42",".320","3.1","5.5","2.2","1.5","$12.1","5","4.0%",".285","18054"
"Jean Segura","PHI","354",".277",".336",".387",".723","98","25","45","33","79","9","0","10","1","58","7","1","16","13","168","80","463","943","6.5%","15.0%","0.43",".110",".307","2.10",".320","2.1","1.6","-1.6","1.7","$13.8","13","4.4%",".303","5933"
"Nico Hoerner","CHC","481",".281",".327",".410",".736","135","28","60","55","98","22","5","10","4","57","6","2","11","20","196","141","599","1233","5.4%","11.0%","0.49",".129",".300","1.39",".320","3.7","8.7","2.3","4.0","$31.7","11","2.6%",".301","21479"
"Juan Yepez","STL","253",".253",".296",".447",".742","64","16","27","30","39","13","0","12","0","61","1","4","6","0","74","92","339","696","5.8%","22.3%","0.26",".194",".283","0.80",".319","2.9","-5.8","-1.7","0.1","$0.5","18","9.2%",".286","18400"
"Alex Verdugo","BOS","593",".280",".328",".405",".732","166","42","75","74","115","39","1","11","2","86","3","6","14","1","234","169","895","1595","6.5%","13.4%","0.49",".125",".309","1.38",".319","2.0","-3.3","-1.1","1.2","$9.3","31","6.0%",".329","17027"
"Mitch Haniger","SEA","224",".246",".308",".429",".736","55","20","31","34","36","8","0","11","1","65","1","2","7","0","60","69","366","630","8.1%","26.3%","0.31",".183",".293","0.87",".319","3.6","0.4","-0.9","0.8","$6.4","19","11.8%",".328","14274"
"Donovan Solano","CIN","278",".284",".339",".385",".724","79","19","22","24","59","16","0","4","1","61","5","2","5","0","98","61","373","816","6.3%","20.1%","0.31",".101",".349","1.61",".319","-0.6","1.4","-2.0","0.5","$3.9","13","5.9%",".315","8623"
"Christian Arroyo","BOS","280",".286",".322",".414",".736","80","13","32","36","57","16","1","6","2","49","3","2","7","5","106","68","326","715","4.3%","16.3%","0.27",".129",".326","1.56",".319","0.8","-4.7","-3.2","0.2","$1.6","15","6.4%",".330","16434"
"Jake Cronenworth","SDP","587",".239",".332",".390",".722","140","70","88","88","89","30","4","17","3","131","16","8","2","3","163","220","981","1684","10.2%","19.2%","0.53",".152",".275","0.74",".318","7.0","0.8","6.8","4.1","$32.8","26","5.6%",".303","18036"
"Charles Leblanc","MIA","156",".263",".320",".404",".723","41","12","18","11","27","10","0","4","0","53","1","0","0","4","37","41","259","440","7.1%","31.4%","0.23",".141",".374","0.90",".318","1.4","-0.4","1.4","0.9","$6.9","9","8.7%",".285","19813"
"Max Muncy","LAD","464",".196",".329",".384",".713","91","90","69","69","47","22","1","21","1","141","5","6","2","2","103","162","1000","1436","15.9%","25.0%","0.64",".188",".227","0.64",".318","4.2","-1.6","2.1","2.4","$19.0","44","13.4%",".339","13301"
"Tommy Edman","STL","577",".265",".324",".400",".725","153","46","95","57","105","31","4","13","2","111","5","1","10","32","230","144","820","1508","7.3%","17.6%","0.41",".135",".308","1.60",".318","5.9","14.1","8.4","5.6","$45.2","29","6.2%",".308","19470"
"Thairo Estrada","SFG","488",".260",".322",".400",".722","127","33","71","62","89","22","2","14","0","89","14","5","10","21","200","117","664","1281","6.1%","16.5%","0.37",".139",".290","1.71",".317","3.9","-0.9","2.4","2.7","$21.7","18","4.4%",".299","16426"
"Marcus Semien","TEX","657",".248",".304",".429",".733","163","53","101","83","101","31","5","26","0","120","4","10","7","25","185","258","1033","1743","7.3%","16.6%","0.44",".181",".263","0.72",".317","5.6","1.2","7.0","4.2","$33.3","37","6.8%",".306","12533"
"Ketel Marte","ARI","492",".240",".321",".407",".727","118","55","68","52","62","42","2","12","3","101","6","5","12","5","167","154","818","1341","9.9%","18.1%","0.54",".167",".276","1.08",".317","1.5","-3.2","-0.9","1.4","$11.4","24","6.1%",".315","13613"
"Charlie Blackmon","COL","530",".264",".314",".419",".733","140","32","60","78","96","22","6","16","4","109","8","3","10","4","183","143","700","1385","5.5%","18.9%","0.29",".155",".304","1.28",".317","-7.2","-1.6","1.4","0.1","$1.0","19","4.4%",".301","7859"
"Kyle Stowers","BAL","91",".253",".306",".418",".724","23","5","11","11","15","4","1","3","0","29","2","0","3","0","23","23","119","249","5.1%","29.6%","0.17",".165",".339","1.00",".316","0.7","0.3","-0.9","0.2","$1.5","7","11.3%",".335","26151"
"Patrick Wisdom","CHC","469",".207",".298",".426",".725","97","53","67","66","44","28","0","25","1","183","9","2","8","8","98","140","832","1401","9.9%","34.3%","0.29",".220",".274","0.70",".316","2.5","-10.7","0.6","1.1","$8.5","41","14.2%",".295","13602"
"Trevor Story","BOS","357",".238",".303",".434",".737","85","32","53","66","47","22","0","16","4","122","3","4","9","13","85","108","551","1024","8.1%","30.8%","0.26",".196",".309","0.79",".316","0.2","5.5","2.9","2.4","$18.9","27","11.3%",".301","12564"
"Ryan Mountcastle","BAL","555",".250",".305",".423",".729","139","43","62","85","88","28","1","22","1","154","4","7","12","4","152","166","784","1556","7.1%","25.3%","0.28",".173",".303","0.92",".316","4.3","2.0","0.7","1.6","$12.5","61","15.0%",".362","18373"
"Nolan Gorman","STL","283",".226",".300",".420",".721","64","28","44","35","37","13","0","14","0","103","2","0","2","1","48","87","475","842","8.9%","32.9%","0.27",".194",".301","0.55",".316","2.4","-7.2","-0.1","0.5","$4.1","26","14.4%",".341","22263"
"Rodolfo Castro","PIT","253",".233",".299",".427",".725","59","22","25","27","36","8","4","11","0","74","2","1","6","5","85","59","383","664","7.9%","26.6%","0.30",".194",".284","1.44",".315","0.8","-3.0","0.3","0.9","$7.4","12","6.7%",".280","21987"
"Maikel Garcia","KCR","22",".318",".348",".364",".711","7","1","1","2","6","1","0","0","0","5","0","0","1","0","9","5","33","60","4.3%","21.7%","0.20",".045",".412","1.80",".315","0.1","-0.3","-0.2","0.1","$0.5","0","0.0%",".242","22715"
