"Name","Team","AB","AVG","OBP","SLG","OPS","H","BB","R","RBI","1B","2B","3B","HR","IBB","SO","HBP","SF","GDP","SB","GB","FB","Balls","Strikes","BB%","K%","BB/K","ISO","BABIP","GB/FB","wOBA","Bat","Fld","BsR","WAR","Dol","Barrels","Barrel%","xwOBA","playerid"
"Mookie Betts","LAD","572",".269",".340",".533",".873","154","55","117","82","76","40","3","35","0","104","8","4","8","12","159","225","937","1491","8.6%","16.3%","0.53",".264",".272","0.71",".373","32.9","10.1","4.3","6.6","$52.8","46","9.7%",".344","13611"
"Joc Pederson","SFG","380",".274",".353",".521",".874","104","42","57","70","59","19","3","23","3","100","7","4","5","3","101","126","639","1046","9.7%","23.1%","0.42",".247",".310","0.80",".373","22.3","-12.1","0.4","2.1","$16.4","43","15.1%",".367","11899"
"Rafael Devers","BOS","555",".295",".358",".521",".879","164","50","84","88","94","42","1","27","11","114","6","3","14","3","187","166","769","1463","8.1%","18.6%","0.44",".225",".329","1.13",".373","28.0","-1.6","-1.2","4.9","$39.0","51","11.5%",".361","17350"
"Oswald Peraza","NYY","49",".306",".404",".429",".832","15","6","8","2","11","3","0","1","0","9","2","0","3","2","23","11","56","104","10.5%","15.8%","0.67",".122",".359","2.09",".371","2.9","-0.6","-0.7","0.4","$3.3","2","5.0%",".343","22823"
"Conner Capel","- - -","52",".308",".356",".519",".875","16","5","7","11","12","0","1","3","0","10","0","2","2","1","19","15","85","157","8.5%","16.9%","0.50",".212",".317","1.27",".371","3.2","2.5","-0.3","0.7","$5.4","3","6.8%",".339","19983"
"Tyler Stephenson","CIN","166",".319",".372",".482",".854","53","12","24","35","38","9","0","6","0","47","3","2","4","1","50","36","278","454","6.6%","25.7%","0.26",".163",".409","1.39",".370","7.2","-1.9","0.6","1.5","$12.3","8","6.6%",".318","17988"
"Trayce Thompson","- - -","219",".256",".353",".507",".860","56","32","36","41","28","14","1","13","0","93","2","2","2","4","40","50","443","695","12.5%","36.5%","0.34",".251",".374","0.80",".370","12.5","2.0","3.2","2.5","$20.3","21","16.4%",".366","9952"
"William Contreras","ATL","334",".278",".354",".506",".860","93","39","51","45","58","14","1","20","1","104","1","2","5","2","123","74","584","962","10.4%","27.7%","0.38",".228",".344","1.66",".370","16.6","-4.1","-2.6","2.4","$19.5","31","13.4%",".347","20503"
"Royce Lewis","MIN","40",".300",".317",".550",".867","12","1","5","5","6","4","0","2","0","5","0","0","2","0","11","17","44","97","2.4%","12.2%","0.20",".250",".303","0.65",".370","2.1","0.2","0.2","0.5","$3.6","2","5.7%",".319","20437"
"Eloy Jimenez","CHW","292",".295",".358",".500",".858","86","28","40","54","58","12","0","16","0","72","3","4","8","0","113","74","432","746","8.6%","22.0%","0.39",".205",".337","1.53",".370","16.1","-2.0","-1.4","1.7","$13.9","33","14.7%",".365","17484"
"Kris Bryant","COL","160",".306",".376",".475",".851","49","17","28","14","32","12","0","5","0","27","2","2","7","0","54","52","268","428","9.4%","14.9%","0.63",".169",".338","1.04",".370","5.3","-2.7","-0.6","0.6","$4.6","9","6.7%",".344","15429"
"Shohei Ohtani","LAA","586",".273",".356",".519",".875","160","72","90","95","90","30","6","34","14","161","5","3","6","11","179","162","946","1600","10.8%","24.2%","0.45",".246",".320","1.10",".370","31.6","","0.3","3.8","$30.7","72","16.8%",".385","19755"
"Ji Hwan Bae","PIT","33",".333",".405",".424",".830","11","2","5","6","8","3","0","0","0","6","2","0","0","3","14","5","42","78","5.4%","16.2%","0.33",".091",".407","2.80",".370","1.7","-1.6","1.0","0.2","$2.0","0","0.0%",".273","23818"
"Bryce Harper","PHI","370",".286",".364",".514",".877","106","46","63","65","59","28","1","18","9","87","3","7","13","11","119","99","554","1040","10.8%","20.4%","0.53",".227",".324","1.20",".369","19.0","0.1","-0.9","2.4","$18.9","37","12.8%",".380","11579"
"Nathaniel Lowe","TEX","593",".302",".358",".492",".851","179","48","74","76","123","26","3","27","2","147","4","0","10","2","214","136","876","1649","7.4%","22.8%","0.33",".191",".363","1.57",".368","31.2","-7.3","-3.9","3.0","$24.1","44","9.9%",".344","19566"
"Michael Harris II","ATL","414",".297",".339",".514",".853","123","21","75","64","74","27","3","19","0","107","5","0","7","20","172","83","534","1121","4.8%","24.3%","0.20",".217",".361","2.07",".368","18.5","4.9","5.9","4.8","$38.6","31","10.1%",".335","25931"
"Julio Rodriguez","SEA","511",".284",".345",".509",".853","145","40","84","75","89","25","3","28","4","145","8","1","7","25","169","131","733","1351","7.1%","25.9%","0.28",".225",".345","1.29",".366","29.2","-2.3","4.3","5.3","$42.6","48","13.1%",".337","23697"
"Yandy Diaz","TBR","473",".296",".401",".423",".824","140","78","71","57","98","33","0","9","2","60","6","1","10","3","206","131","877","1280","14.0%","10.8%","1.30",".127",".323","1.57",".366","29.2","-4.5","-5.3","3.8","$30.2","20","4.8%",".365","16578"
"Pete Alonso","NYM","597",".271",".352",".518",".869","162","67","95","131","95","27","0","40","16","128","12","9","17","5","173","210","921","1586","9.8%","18.7%","0.52",".246",".279","0.82",".366","34.5","-4.7","-2.5","4.0","$31.6","59","12.3%",".354","19251"
"Jeff McNeil","NYM","533",".326",".382",".454",".836","174","40","73","62","125","39","1","9","1","61","11","5","6","4","195","166","717","1348","6.8%","10.4%","0.66",".128",".353","1.17",".365","29.4","5.5","2.0","5.9","$46.9","13","2.7%",".323","15362"
"Jazz Chisholm Jr.","MIA","213",".254",".325",".535",".860","54","21","39","45","26","10","4","14","0","66","3","3","0","12","55","60","346","604","8.7%","27.4%","0.32",".282",".294","0.92",".365","11.0","1.5","3.1","2.6","$20.6","25","16.6%",".345","20454"
"Vinnie Pasquantino","KCR","258",".295",".383",".450",".832","76","35","25","26","56","10","0","10","1","34","3","2","5","1","92","90","392","647","11.7%","11.4%","1.03",".155",".306","1.02",".365","12.5","0.6","-2.1","1.5","$11.9","20","8.8%",".374","27676"
"Garrett Mitchell","MIL","61",".311",".373",".459",".832","19","6","9","9","14","3","0","2","0","28","0","0","0","8","13","13","100","200","8.8%","41.2%","0.21",".148",".548","1.00",".365","2.9","2.0","2.2","1.0","$8.2","4","11.8%",".266","27555"
"Andres Gimenez","CLE","491",".297",".371",".466",".837","146","34","66","69","100","26","3","17","4","112","25","3","9","20","171","121","646","1398","6.1%","20.1%","0.30",".169",".353","1.41",".364","25.0","9.5","3.4","6.1","$48.8","24","6.2%",".326","19950"
"Nick Maton","PHI","72",".250",".341",".514",".855","18","10","13","17","10","2","1","5","0","29","1","2","0","0","14","19","131","234","11.8%","34.1%","0.34",".264",".325","0.74",".364","3.4","0.4","0.9","0.8","$6.0","3","6.7%",".306","21635"
"Danny Jansen","TOR","215",".260",".339",".516",".855","56","25","34","44","31","10","0","15","1","44","3","5","1","1","59","89","359","602","10.1%","17.7%","0.57",".256",".255","0.66",".364","11.2","0.6","0.8","2.6","$20.7","23","13.1%",".368","16535"
"Xander Bogaerts","BOS","557",".307",".377",".456",".833","171","57","84","73","118","38","0","15","2","118","10","7","14","8","207","142","892","1608","9.0%","18.7%","0.48",".149",".362","1.46",".363","23.9","3.0","4.7","6.1","$48.5","29","6.5%",".323","12161"
"Jose Ramirez","CLE","601",".280",".355",".514",".869","168","69","90","126","90","44","5","29","20","82","6","9","5","20","171","267","1042","1700","10.1%","12.0%","0.84",".235",".279","0.64",".363","30.0","2.3","6.0","6.2","$49.4","35","6.6%",".320","13510"
"Carlos Correa","MIN","522",".291",".366",".467",".834","152","61","70","64","105","24","1","22","2","121","3","4","18","0","173","152","901","1518","10.3%","20.5%","0.50",".176",".339","1.14",".362","26.7","-3.3","-6.0","4.4","$34.8","46","11.4%",".363","14162"
"Taylor Ward","LAA","495",".281",".360",".473",".833","139","60","73","65","92","22","2","23","0","120","4","5","5","5","133","164","894","1403","10.6%","21.3%","0.50",".192",".325","0.81",".362","23.3","0.5","0.7","3.8","$30.8","46","12.1%",".361","17548"
"Jose Abreu","CHW","601",".304",".378",".446",".824","183","62","85","75","128","40","0","15","2","110","12","4","19","0","237","157","984","1746","9.1%","16.2%","0.56",".141",".350","1.51",".361","28.7","1.2","-1.7","3.9","$31.0","47","9.5%",".373","15676"
"Monte Harrison","LAA","11",".182",".357",".455",".812","2","2","5","3","1","0","0","1","0","8","1","0","1","1","2","1","26","35","14.3%","57.1%","0.25",".273",".500","2.00",".361","0.6","0.2","0.5","0.2","$1.3","1","33.3%",".282","17216"
"Stone Garrett","ARI","76",".276",".309",".539",".848","21","3","13","10","9","8","0","4","0","27","1","1","1","3","17","26","99","213","3.6%","32.1%","0.11",".263",".370","0.65",".360","3.1","0.4","-0.1","0.5","$4.0","5","9.4%",".268","19273"
"Alex Bregman","HOU","548",".259",".366",".454",".820","142","87","93","93","81","38","0","23","1","77","11","10","18","1","160","230","1084","1437","13.3%","11.7%","1.13",".195",".260","0.70",".358","26.7","5.4","-3.0","5.5","$43.9","35","7.3%",".350","17678"
"Corbin Carroll","ARI","104",".260",".330",".500",".830","27","8","13","14","12","9","2","4","0","31","3","0","1","2","35","20","167","291","7.0%","27.0%","0.26",".240",".333","1.75",".358","4.0","5.9","0.9","1.4","$11.4","4","5.5%",".293","25878"
"Willson Contreras","CHC","416",".243",".349",".466",".815","101","45","65","55","54","23","2","22","0","103","24","2","14","4","162","104","669","1156","9.2%","21.1%","0.44",".224",".270","1.56",".357","18.0","-1.5","-2.8","3.3","$26.2","33","10.5%",".364","11609"
"Byron Buxton","MIN","340",".224",".306",".526",".833","76","34","61","51","32","13","3","28","0","116","7","1","0","6","69","115","571","958","8.9%","30.4%","0.29",".303",".244","0.60",".356","15.3","9.1","4.3","4.0","$31.9","37","16.4%",".358","14161"
