id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
283709139,2018-10-28,https://www.inaturalist.org/observations/283709139,https://inaturalist-open-data.s3.amazonaws.com/photos/509798425/medium.jpg,"Forgive my handling, I was little and used to sunfish.",40.0148152838,-105.2800338402,,False,Rocky Mountain Cutbow,Oncorhynchus mykiss × virginalis,Rocky Mountain Cutbow,Actinopterygii,1529905,Cutbow Hybrid
283709140,2018-09-17,https://www.inaturalist.org/observations/283709140,https://inaturalist-open-data.s3.amazonaws.com/photos/509800396/medium.jpg,,40.3761768045,-105.4983157528,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
283734062,2025-05-24,https://www.inaturalist.org/observations/283734062,https://inaturalist-open-data.s3.amazonaws.com/photos/509848265/medium.jpg,,37.8359033333,-107.88192,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
283734239,2025-05-24,https://www.inaturalist.org/observations/283734239,https://inaturalist-open-data.s3.amazonaws.com/photos/509848604/medium.jpg,,37.8343716667,-107.881705,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
283734607,2025-05-23,https://www.inaturalist.org/observations/283734607,https://inaturalist-open-data.s3.amazonaws.com/photos/509849277/medium.jpg,,37.834755,-107.88163,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
284005852,2023-07-28,https://www.inaturalist.org/observations/284005852,https://inaturalist-open-data.s3.amazonaws.com/photos/510360238/medium.jpg,,39.7733608462,-105.9271753723,obscured,True,Greenback Cutthroat Trout,Oncorhynchus virginalis stomias,Greenback Cutthroat Trout,Actinopterygii,1520375,Cutthroat Trout
284114284,2025-05-21,https://www.inaturalist.org/observations/284114284,https://inaturalist-open-data.s3.amazonaws.com/photos/510565376/medium.jpg,#10 black & brown rubberlegs,40.6962851582,-105.3676132278,obscured,True,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
284116153,2025-05-21,https://www.inaturalist.org/observations/284116153,https://inaturalist-open-data.s3.amazonaws.com/photos/510569373/medium.jpg,#10 olive & brown rubberlegs (pictured),40.7519704705,-105.2517756189,obscured,True,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
284301599,2025-05-25,https://www.inaturalist.org/observations/284301599,https://inaturalist-open-data.s3.amazonaws.com/photos/510920489/medium.jpg,,37.4457716667,-107.1378778333,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
284455853,2025-05-25,https://www.inaturalist.org/observations/284455853,https://inaturalist-open-data.s3.amazonaws.com/photos/511217641/medium.jpg,,37.443782324,-107.1287798117,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
284479082,2025-05-26,https://www.inaturalist.org/observations/284479082,https://inaturalist-open-data.s3.amazonaws.com/photos/511266022/medium.jpg,,40.3758933279,-105.4902931675,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
284614377,2025-05-23,https://www.inaturalist.org/observations/284614377,https://static.inaturalist.org/photos/511517500/medium.jpg,,38.262755,-104.6977916667,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
285126149,2025-05-29,https://www.inaturalist.org/observations/285126149,https://inaturalist-open-data.s3.amazonaws.com/photos/512476600/medium.jpg,,40.6878926899,-105.4545909157,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
285127764,2024-08-16,https://www.inaturalist.org/observations/285127764,https://inaturalist-open-data.s3.amazonaws.com/photos/512479818/medium.jpg,,40.309450143,-105.6586882154,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
285251141,2025-05-26,https://www.inaturalist.org/observations/285251141,https://static.inaturalist.org/photos/512717899/medium.jpg,,39.5602739285,-107.2936093435,,False,Rocky Mountain Cutbow,Oncorhynchus mykiss × virginalis,Rocky Mountain Cutbow,Actinopterygii,1529905,Cutbow Hybrid
285252528,2025-05-27,https://www.inaturalist.org/observations/285252528,https://static.inaturalist.org/photos/512720209/medium.jpg,,39.5602739285,-107.2936093435,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
285253683,2025-05-28,https://www.inaturalist.org/observations/285253683,https://static.inaturalist.org/photos/512722556/medium.jpg,,39.5602739285,-107.2936093435,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
285254107,2025-05-29,https://www.inaturalist.org/observations/285254107,https://static.inaturalist.org/photos/512723281/medium.jpg,,39.3618909494,-106.7868669704,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
285254152,2025-05-29,https://www.inaturalist.org/observations/285254152,https://static.inaturalist.org/photos/512723361/medium.jpg,,39.3618909494,-106.7868669704,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
285254176,2025-05-29,https://www.inaturalist.org/observations/285254176,https://static.inaturalist.org/photos/512723450/medium.jpg,,39.3618909494,-106.7868669704,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
285526348,2025-05-30,https://www.inaturalist.org/observations/285526348,https://inaturalist-open-data.s3.amazonaws.com/photos/513227945/medium.jpg,,37.5415988186,-107.198751299,,False,Salmons and Trouts,Salmoninae,Salmons and Trouts,Actinopterygii,342904,General Salmonid
285526545,2025-05-30,https://www.inaturalist.org/observations/285526545,https://inaturalist-open-data.s3.amazonaws.com/photos/513228296/medium.jpg,,37.5206972778,-107.2290726653,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
285820092,2025-05-31,https://www.inaturalist.org/observations/285820092,https://inaturalist-open-data.s3.amazonaws.com/photos/513768253/medium.jpg,,40.3097076416,-105.6580581665,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
285840236,2025-05-30,https://www.inaturalist.org/observations/285840236,https://inaturalist-open-data.s3.amazonaws.com/photos/513808239/medium.jpg,,40.3099366667,-105.6573416667,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
285865816,2025-05-30,https://www.inaturalist.org/observations/285865816,https://static.inaturalist.org/photos/513859223/medium.jpg,,39.3203,-105.189095,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
286113786,2025-06-01,https://www.inaturalist.org/observations/286113786,https://static.inaturalist.org/photos/514320067/medium.jpg,,39.6825916667,-105.6131966667,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
286117833,2025-06-01,https://www.inaturalist.org/observations/286117833,https://inaturalist-open-data.s3.amazonaws.com/photos/514328143/medium.jpg,,39.4785396601,-106.0464413875,,False,Common Carp,Salmoninae,Salmons and Trouts,Actinopterygii,342904,General Salmonid
286180434,2025-06-01,https://www.inaturalist.org/observations/286180434,https://inaturalist-open-data.s3.amazonaws.com/photos/514456018/medium.jpg,This one is one inch.,39.6254269716,-107.7616390586,,False,European Perch,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
286558261,2025-05-04,https://www.inaturalist.org/observations/286558261,https://inaturalist-open-data.s3.amazonaws.com/photos/515171602/medium.jpg,,40.0150228563,-105.2785773575,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
286558596,2025-05-29,https://www.inaturalist.org/observations/286558596,https://inaturalist-open-data.s3.amazonaws.com/photos/515172238/medium.jpg,,40.011580635,-105.2704640105,,False,Brown Trout,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
286596834,2024-10-09,https://www.inaturalist.org/observations/286596834,https://inaturalist-open-data.s3.amazonaws.com/photos/515241435/medium.jpg,,40.383375,-105.5485716667,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
286969764,2025-06-04,https://www.inaturalist.org/observations/286969764,https://inaturalist-open-data.s3.amazonaws.com/photos/515958869/medium.jpg,,40.7032057425,-105.2355825407,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
287195116,2025-06-03,https://www.inaturalist.org/observations/287195116,https://static.inaturalist.org/photos/516378387/medium.jpg,,40.3097022252,-105.6592994928,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
287205137,2025-06-05,https://www.inaturalist.org/observations/287205137,https://inaturalist-open-data.s3.amazonaws.com/photos/516852434/medium.jpg,,40.2915833333,-105.6588833333,,False,Rocky Mountain Cutthroat Trout,Oncorhynchus virginalis,Rocky Mountain Cutthroat Trout,Actinopterygii,1316977,Cutthroat Trout
