id,observed_on,url,image_url,description,latitude,longitude,geoprivacy,coordinates_obscured,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,generic_name
121471524,2022-05-15,https://www.inaturalist.org/observations/121471524,https://inaturalist-open-data.s3.amazonaws.com/photos/205550946/medium.jpg,,37.5187833333,-118.7131666667,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121481358,2022-06-11,https://www.inaturalist.org/observations/121481358,https://inaturalist-open-data.s3.amazonaws.com/photos/205569062/medium.jpeg,,41.2457405824,-122.7216809568,obscured,True,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121526659,2022-05-28,https://www.inaturalist.org/observations/121526659,https://inaturalist-open-data.s3.amazonaws.com/photos/205646930/medium.jpg,"Cottonwood Pass trailhead area, 10000'",36.444880003,-118.1706306303,,False,Pacific Salmons and Trouts,Oncorhynchus,Pacific Salmons and Trouts,Actinopterygii,47522,General Salmonid
121528499,2022-06-12,https://www.inaturalist.org/observations/121528499,https://inaturalist-open-data.s3.amazonaws.com/photos/205656758/medium.jpg,,34.3614166667,-117.9023277778,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121549888,2022-05-24,https://www.inaturalist.org/observations/121549888,https://inaturalist-open-data.s3.amazonaws.com/photos/205698093/medium.jpg,,40.558748,-120.780105,,False,Eagle Lake Rainbow Trout,Oncorhynchus mykiss aquilarum,Eagle Lake Rainbow Trout,Actinopterygii,210884,Rainbow Trout
121665543,2022-06-13,https://www.inaturalist.org/observations/121665543,https://inaturalist-open-data.s3.amazonaws.com/photos/205908195/medium.jpeg,,34.2478256226,-117.7605056763,,False,Coastal Rainbow Trout,Oncorhynchus mykiss irideus,Coastal Rainbow Trout,Actinopterygii,143607,Rainbow Trout
121668859,2022-06-12,https://www.inaturalist.org/observations/121668859,https://static.inaturalist.org/photos/205913753/medium.jpg,,36.6063365993,-118.7235910167,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
121682862,2022-05-10,https://www.inaturalist.org/observations/121682862,https://static.inaturalist.org/photos/205940293/medium.jpg,,36.2639616193,-121.7732328126,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121742818,2022-06-08,https://www.inaturalist.org/observations/121742818,https://inaturalist-open-data.s3.amazonaws.com/photos/206047897/medium.jpg,,39.4949533333,-120.3253116667,,False,Brook Trout,Salvelinus fontinalis,Brook Trout,Actinopterygii,49596,Brook Trout
121745585,2022-06-12,https://www.inaturalist.org/observations/121745585,https://inaturalist-open-data.s3.amazonaws.com/photos/205795660/medium.jpeg,,37.7369894073,-119.7800287864,,False,Salmo trutta,Salmo trutta,Brown Trout,Actinopterygii,47518,Brown Trout
121817314,2012-06-11,https://www.inaturalist.org/observations/121817314,https://inaturalist-open-data.s3.amazonaws.com/photos/206184763/medium.jpeg,,41.4016041,-124.0416172,,False,Coastal Cutthroat Trout,Oncorhynchus clarkii,Coastal Cutthroat Trout,Actinopterygii,68075,Cutthroat Trout
121817380,2012-06-11,https://www.inaturalist.org/observations/121817380,https://inaturalist-open-data.s3.amazonaws.com/photos/206184880/medium.jpeg,,41.4016041,-124.0416172,,False,Coastal Rainbow Trout,Oncorhynchus mykiss irideus,Coastal Rainbow Trout,Actinopterygii,143607,Rainbow Trout
121821404,2007-11-06,https://www.inaturalist.org/observations/121821404,https://inaturalist-open-data.s3.amazonaws.com/photos/206191019/medium.jpg,"Just out paddling around in the middle on a super calm late fall day, and found this CA Gull investigating a floating Lake Trout",39.1323374425,-120.0873303522,,False,Lake Trout,Salvelinus namaycush,Lake Trout,Actinopterygii,111991,Lake Trout
121904515,2022-06-13,https://www.inaturalist.org/observations/121904515,https://inaturalist-open-data.s3.amazonaws.com/photos/206337054/medium.jpeg,,37.0861277778,-121.9026055556,,False,Pacific Salmons and Trouts,Oncorhynchus,Pacific Salmons and Trouts,Actinopterygii,47522,General Salmonid
121928691,2022-06-15,https://www.inaturalist.org/observations/121928691,https://static.inaturalist.org/photos/206381162/medium.jpg,,36.5847133333,-118.2592083333,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121931567,2022-06-12,https://www.inaturalist.org/observations/121931567,https://inaturalist-open-data.s3.amazonaws.com/photos/206380187/medium.jpeg,Trout of some kind?,34.3613501302,-117.9019345906,,False,Salmons and Trouts,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
121970791,2022-06-15,https://www.inaturalist.org/observations/121970791,https://static.inaturalist.org/photos/206459748/medium.jpeg,,37.1876841997,-118.6210245,,False,Rainbow Trout,Oncorhynchus mykiss,Rainbow Trout,Actinopterygii,47516,Rainbow Trout
