,000,010,020,030,040,050,060,070,080,090,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
000,1.000000238418579,0.9985044002532959,0.9949514865875244,0.9915251731872559,0.9894600510597229,0.9875414371490479,0.9848731160163879,0.9846287965774536,0.9834819436073303,0.9831439256668091,0.9827060699462891,0.9822205901145935,0.9823769330978394,0.9816479682922363,0.9802188873291016,0.9789286851882935,0.9773691296577454,0.9767546653747559,0.9767798185348511,0.9784796833992004,0.9799216985702515,0.9822710752487183,0.9839608669281006,0.9849473237991333,0.9836641550064087,0.9840924739837646,0.9843935966491699,0.9842707514762878,0.9840801358222961,0.9850754737854004,0.9863070249557495,0.9887838959693909,0.9913570880889893,0.993477463722229,0.9956532716751099,0.9976606369018555
010,0.9985044002532959,0.9999999403953552,0.9984207153320312,0.9960129857063293,0.9941686391830444,0.9923598766326904,0.9895385503768921,0.9888904094696045,0.987733006477356,0.9872289896011353,0.9866622686386108,0.9858111143112183,0.9854351878166199,0.9848623871803284,0.9836487174034119,0.982545793056488,0.9810895919799805,0.9804288148880005,0.9804777503013611,0.9820288419723511,0.983245849609375,0.9850317239761353,0.9859147667884827,0.9859750270843506,0.9836132526397705,0.9840912818908691,0.9843343496322632,0.984122633934021,0.9837225675582886,0.9846145510673523,0.9857320785522461,0.9875945448875427,0.9897059202194214,0.9915623664855957,0.9934996962547302,0.9954898953437805
020,0.9949514865875244,0.9984207153320312,1.0,0.999196469783783,0.9980413913726807,0.9965206384658813,0.9939157366752625,0.9929112792015076,0.991654634475708,0.9906907081604004,0.9897457361221313,0.9883403182029724,0.9873173236846924,0.9866663813591003,0.9854385256767273,0.9843016862869263,0.982600212097168,0.981673002243042,0.981667160987854,0.9831691980361938,0.9841775298118591,0.9854733347892761,0.9856591820716858,0.9851228594779968,0.982291042804718,0.9830106496810913,0.9834176301956177,0.983366847038269,0.9830849766731262,0.9840430021286011,0.9851651191711426,0.9864299893379211,0.9881420731544495,0.9896110892295837,0.9912087917327881,0.9928075075149536
030,0.9915251731872559,0.9960129857063293,0.999196469783783,0.9999998807907104,0.9995004534721375,0.9983423352241516,0.9960628151893616,0.994827926158905,0.9935514330863953,0.9921683669090271,0.9907506108283997,0.9888301491737366,0.9872568249702454,0.9865055084228516,0.9851865172386169,0.9840633869171143,0.9820684790611267,0.9810559153556824,0.9810837507247925,0.9825001955032349,0.9834429621696472,0.9847482442855835,0.9848021268844604,0.9841569662094116,0.9812915325164795,0.9822701811790466,0.9827362895011902,0.9828523397445679,0.9826990962028503,0.9835218787193298,0.984369158744812,0.9850337505340576,0.9862699508666992,0.9873474836349487,0.9885785579681396,0.9896606802940369
040,0.9894600510597229,0.9941686391830444,0.9980413913726807,0.9995004534721375,1.0000001192092896,0.9994867444038391,0.9979296922683716,0.9968537092208862,0.9955228567123413,0.9940168857574463,0.9924783706665039,0.9903507232666016,0.9883781671524048,0.9874509572982788,0.9859927892684937,0.9847819209098816,0.9826898574829102,0.9815887212753296,0.9817347526550293,0.9829055666923523,0.9837199449539185,0.984752357006073,0.9845625758171082,0.983742356300354,0.9809595942497253,0.982081413269043,0.9826757311820984,0.9827721118927002,0.982668936252594,0.9835849404335022,0.984436571598053,0.9847823977470398,0.9856188297271729,0.9862856864929199,0.9870988130569458,0.987917423248291
050,0.9875414371490479,0.9923598766326904,0.9965206384658813,0.9983423352241516,0.9994867444038391,1.0,0.9992608428001404,0.9984520673751831,0.9973758459091187,0.995941162109375,0.9943851828575134,0.9922101497650146,0.9899048805236816,0.9890308380126953,0.9876691102981567,0.9865602254867554,0.9845675230026245,0.9834094047546387,0.9835079908370972,0.9842278957366943,0.9847545623779297,0.9854018688201904,0.9848044514656067,0.9836074709892273,0.9807494878768921,0.9820244312286377,0.982764720916748,0.9827970862388611,0.9826745986938477,0.9836772680282593,0.9845873117446899,0.9845279455184937,0.9849928617477417,0.9852535724639893,0.9857224225997925,0.9862824082374573
060,0.9848731160163879,0.9895385503768921,0.9939157366752625,0.9960628151893616,0.9979296922683716,0.9992608428001404,1.000000238418579,0.9994748830795288,0.9985339641571045,0.9970582723617554,0.9953998327255249,0.9930089712142944,0.9903765320777893,0.9895123243331909,0.9881389737129211,0.9870892763137817,0.9850923418998718,0.9839307069778442,0.9841614961624146,0.9843214154243469,0.9846023917198181,0.9848366379737854,0.9840542674064636,0.9827671051025391,0.9802347421646118,0.9815831184387207,0.9822837710380554,0.9819803833961487,0.9817571640014648,0.9829425811767578,0.9841599464416504,0.9837630391120911,0.983857274055481,0.9838618040084839,0.9838961362838745,0.9841691255569458
070,0.9846287965774536,0.9888904094696045,0.9929112792015076,0.994827926158905,0.9968537092208862,0.9984520673751831,0.9994748830795288,1.0,0.9995784163475037,0.9986170530319214,0.9972648024559021,0.9951132535934448,0.9924806356430054,0.9915633201599121,0.9901415705680847,0.9890238642692566,0.9870151877403259,0.9856693744659424,0.9853956699371338,0.9857198596000671,0.9859180450439453,0.9860023260116577,0.9851887226104736,0.9838840961456299,0.9815099239349365,0.9828368425369263,0.9833803176879883,0.9830125570297241,0.9828563928604126,0.9839253425598145,0.9849146604537964,0.9845598936080933,0.9845292568206787,0.9843194484710693,0.9841998815536499,0.9842938184738159
080,0.9834819436073303,0.987733006477356,0.991654634475708,0.9935514330863953,0.9955228567123413,0.9973758459091187,0.9985339641571045,0.9995784163475037,1.0000001192092896,0.999572217464447,0.9985407590866089,0.9967054724693298,0.9942319989204407,0.993475079536438,0.9921634793281555,0.9911485910415649,0.9891158938407898,0.9877128601074219,0.9869301319122314,0.9872828125953674,0.9872544407844543,0.9870994687080383,0.9860132932662964,0.9844502806663513,0.9819604158401489,0.9832764267921448,0.9837133288383484,0.9833325147628784,0.9831606149673462,0.9840669631958008,0.9848322868347168,0.9843134880065918,0.9840930700302124,0.983619213104248,0.9833957552909851,0.9833030104637146
090,0.9831439256668091,0.9872289896011353,0.9906907081604004,0.9921683669090271,0.9940168857574463,0.995941162109375,0.9970582723617554,0.9986170530319214,0.999572217464447,1.0000001192092896,0.9996280670166016,0.9984265565872192,0.996391773223877,0.9956252574920654,0.9943007826805115,0.9932570457458496,0.9912796020507812,0.9897556304931641,0.9885072708129883,0.9886642694473267,0.9884626865386963,0.9880131483078003,0.9866795539855957,0.9849291443824768,0.9822641611099243,0.9835205078125,0.9838184118270874,0.9833769202232361,0.9831141233444214,0.983928918838501,0.9845519065856934,0.9839649200439453,0.9836505651473999,0.9829946756362915,0.9827628135681152,0.982711911201477
