,000,010,020,030,040,050,060,070,080,090,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350
000,1.0000001192092896,0.9906608462333679,0.9863377809524536,0.9867843985557556,0.9853171110153198,0.9842337965965271,0.9823221564292908,0.9802550077438354,0.9772477149963379,0.9735592603683472,0.9698830842971802,0.9659772515296936,0.9636819958686829,0.9654306173324585,0.9691786170005798,0.9718862771987915,0.9730642437934875,0.9721211791038513,0.9702508449554443,0.9708684086799622,0.9644762277603149,0.9541258215904236,0.9513158202171326,0.9459240436553955,0.9448840022087097,0.9469796419143677,0.9419698715209961,0.9367807507514954,0.9297963380813599,0.9301216006278992,0.9333481788635254,0.9437853097915649,0.9569817781448364,0.968356192111969,0.9776419401168823,0.9935758709907532
010,0.9906608462333679,1.0000001192092896,0.9976062178611755,0.9914525151252747,0.9837504625320435,0.9807491898536682,0.9787445664405823,0.9786778688430786,0.9773836135864258,0.9749336838722229,0.9718968272209167,0.9684147834777832,0.9660221934318542,0.9676098227500916,0.9706322550773621,0.9727609753608704,0.9732946157455444,0.9721013307571411,0.9705445766448975,0.9715605974197388,0.9655217528343201,0.9550908207893372,0.9515054225921631,0.9459748864173889,0.9447464346885681,0.9478646516799927,0.9442917108535767,0.9399579167366028,0.9334099888801575,0.9336753487586975,0.9366399049758911,0.9465300440788269,0.9586395621299744,0.9684665203094482,0.9754561185836792,0.9859293699264526
020,0.9863377809524536,0.9976062178611755,1.000000238418579,0.9961342215538025,0.9881330728530884,0.9843107461929321,0.9812686443328857,0.980740487575531,0.9791147708892822,0.9765565991401672,0.9733752012252808,0.9696668982505798,0.9670454859733582,0.9685326218605042,0.9714653491973877,0.9737928509712219,0.9744668006896973,0.9735840559005737,0.972322940826416,0.9740781188011169,0.9686230421066284,0.9585148692131042,0.9545893669128418,0.9482803344726562,0.9463536739349365,0.9497208595275879,0.9461435675621033,0.9416146874427795,0.9348387122154236,0.9346265196800232,0.9368471503257751,0.946358323097229,0.9578139185905457,0.9670085310935974,0.9734071493148804,0.9830297827720642
030,0.9867843985557556,0.9914525151252747,0.9961342215538025,1.0000001192092896,0.9969757199287415,0.9933797717094421,0.9888882637023926,0.9857526421546936,0.9820233583450317,0.97772216796875,0.9732598662376404,0.9686246514320374,0.9654070734977722,0.9669150114059448,0.9700934290885925,0.9730151891708374,0.974338948726654,0.9739527702331543,0.9725537300109863,0.9742016196250916,0.9688480496406555,0.9588665962219238,0.9552072286605835,0.9485337138175964,0.9462419748306274,0.9492831826210022,0.9446753263473511,0.9393652677536011,0.9320357441902161,0.9315930008888245,0.9336899518966675,0.9436678886413574,0.9555893540382385,0.9654707908630371,0.9727903008460999,0.9838418960571289
040,0.9853171110153198,0.9837504625320435,0.9881330728530884,0.9969757199287415,0.9999998211860657,0.998580813407898,0.9943363666534424,0.989487886428833,0.9839507341384888,0.9782240986824036,0.9727482199668884,0.9673581123352051,0.9635449647903442,0.9649625420570374,0.9682018756866455,0.9713196158409119,0.9728355407714844,0.9725685119628906,0.9709596037864685,0.9720581769943237,0.9661632776260376,0.9556843042373657,0.9521733522415161,0.945409893989563,0.9430398941040039,0.9456467032432556,0.9405698180198669,0.9350546598434448,0.9276038408279419,0.9273184537887573,0.9298453330993652,0.9402551651000977,0.95273756980896,0.963240385055542,0.971230149269104,0.9827983975410461
050,0.9842337965965271,0.9807491898536682,0.9843107461929321,0.9933797717094421,0.998580813407898,1.0000001192092896,0.9980995655059814,0.9935864806175232,0.9875069260597229,0.9812980890274048,0.9755409955978394,0.9697655439376831,0.9656004309654236,0.9669303894042969,0.9699422717094421,0.9728647470474243,0.973961353302002,0.9730652570724487,0.9709628224372864,0.9714301824569702,0.9643639326095581,0.9528059959411621,0.9492201805114746,0.942598283290863,0.9405165910720825,0.9434334635734558,0.9385537505149841,0.933184027671814,0.9255816340446472,0.9253886938095093,0.9282425045967102,0.9388086199760437,0.951654851436615,0.9624956250190735,0.9707927107810974,0.9821967482566833
060,0.9823221564292908,0.9787445664405823,0.9812686443328857,0.9888882637023926,0.9943363666534424,0.9980995655059814,1.000000238418579,0.9976405501365662,0.9923469424247742,0.9863545894622803,0.9806997776031494,0.9747279286384583,0.9701896905899048,0.9712947010993958,0.9738653898239136,0.9761644005775452,0.9764257073402405,0.9743009805679321,0.9709802865982056,0.9704664945602417,0.9620643258094788,0.9492719769477844,0.9454715847969055,0.9389839172363281,0.9373318552970886,0.940659761428833,0.9359887838363647,0.9306821227073669,0.9229050874710083,0.922771155834198,0.925979733467102,0.9365977644920349,0.9498447179794312,0.9611221551895142,0.9695693254470825,0.9804275631904602
070,0.9802550077438354,0.9786778688430786,0.980740487575531,0.9857526421546936,0.989487886428833,0.9935864806175232,0.9976405501365662,0.9999998807907104,0.9982495307922363,0.9945089817047119,0.9901859164237976,0.9850882887840271,0.98074871301651,0.9816899299621582,0.983407735824585,0.9846278429031372,0.9835325479507446,0.9799991846084595,0.9751796722412109,0.9743057489395142,0.9664744138717651,0.9544047713279724,0.9507283568382263,0.9442327618598938,0.9422792792320251,0.9455499649047852,0.9408910274505615,0.9355377554893494,0.9277153015136719,0.9273165464401245,0.9300855398178101,0.9401535987854004,0.9525258541107178,0.9627749919891357,0.9699848294258118,0.9791219830513
080,0.9772477149963379,0.9773836135864258,0.9791147708892822,0.9820233583450317,0.9839507341384888,0.9875069260597229,0.9923469424247742,0.9982495307922363,1.0,0.9986809492111206,0.9958600401878357,0.9919000864028931,0.988078236579895,0.9888256192207336,0.9896941184997559,0.9898573756217957,0.9876505732536316,0.9831981658935547,0.9776480197906494,0.9768097996711731,0.9703364372253418,0.9597941040992737,0.9564062356948853,0.950012743473053,0.9477977752685547,0.9508920311927795,0.9463684558868408,0.9411029815673828,0.9334344863891602,0.9327488541603088,0.9349938631057739,0.9443275928497314,0.9554772973060608,0.9643033742904663,0.9698756337165833,0.9770654439926147
090,0.9735592603683472,0.9749336838722229,0.9765565991401672,0.97772216796875,0.9782240986824036,0.9812980890274048,0.9863545894622803,0.9945089817047119,0.9986809492111206,0.9999998807907104,0.999143123626709,0.9968492984771729,0.9939891695976257,0.9942774176597595,0.9941727519035339,0.9929580688476562,0.9894529581069946,0.9843764305114746,0.9788667559623718,0.9782191514968872,0.9737522006034851,0.9652888774871826,0.9623651504516602,0.9566718339920044,0.9545807242393494,0.9571354985237122,0.9529250860214233,0.9481280446052551,0.9412643909454346,0.9405457973480225,0.9424129128456116,0.9504826664924622,0.959726870059967,0.9661830067634583,0.9692851305007935,0.9743419289588928
100,0.9698830842971802,0.9718968272209167,0.9733752012252808,0.9732598662376404,0.9727482199668884,0.9755409955978394,0.9806997776031494,0.9901859164237976,0.9958600401878357,0.999143123626709,1.0,0.9992069602012634,0.9973502159118652,0.997294545173645,0.996461808681488,0.9941350817680359,0.9895758032798767,0.9839663505554199,0.9784952998161316,0.9778841137886047,0.974916934967041,0.9681026339530945,0.9656383991241455,0.9607955813407898,0.9590274691581726,0.9611327052116394,0.9572595357894897,0.9529452919960022,0.9468270540237427,0.9461166858673096,0.947690486907959,0.9546104669570923,0.9622589349746704,0.9667094945907593,0.9677845239639282,0.9712687730789185
110,0.9659772515296936,0.9684147834777832,0.9696668982505798,0.9686246514320374,0.9673581123352051,0.9697655439376831,0.9747279286384583,0.9850882887840271,0.9919000864028931,0.9968492984771729,0.9992069602012634,0.9999999403953552,0.9993392825126648,0.9990128874778748,0.9976029396057129,0.9942896366119385,0.9888460636138916,0.9828358888626099,0.9773752689361572,0.9767659902572632,0.9754260778427124,0.9703140258789062,0.9683406352996826,0.9643986821174622,0.9629021883010864,0.9644663333892822,0.9608966708183289,0.9570493698120117,0.9516907930374146,0.9509688019752502,0.9521931409835815,0.9579962491989136,0.964030385017395,0.96650230884552,0.9656441807746887,0.967796802520752
120,0.9636819958686829,0.9660221934318542,0.9670454859733582,0.9654070734977722,0.9635449647903442,0.9656004309654236,0.9701896905899048,0.98074871301651,0.988078236579895,0.9939891695976257,0.9973502159118652,0.9993392825126648,0.9999998807907104,0.999561071395874,0.9979454278945923,0.9941188097000122,0.9882679581642151,0.9821323752403259,0.9766783714294434,0.9757046103477478,0.9751378893852234,0.9711349606513977,0.9696085453033447,0.9664281606674194,0.9652249813079834,0.9664315581321716,0.9630926847457886,0.9596511125564575,0.9548836350440979,0.9542354345321655,0.9552722573280334,0.9603092074394226,0.965190052986145,0.9662953019142151,0.9642047882080078,0.965804398059845
130,0.9654306173324585,0.9676098227500916,0.9685326218605042,0.9669150114059448,0.9649625420570374,0.9669303894042969,0.9712947010993958,0.9816899299621582,0.9888256192207336,0.9942774176597595,0.997294545173645,0.9990128874778748,0.999561071395874,1.0000001192092896,0.9992535710334778,0.9964429140090942,0.9913056492805481,0.9852054119110107,0.9790403246879578,0.9775446653366089,0.9756330251693726,0.9705592393875122,0.9687398672103882,0.9651409387588501,0.9637662172317505,0.965441107749939,0.9620370268821716,0.9582983255386353,0.9529811143875122,0.9522153735160828,0.9531765580177307,0.9587647318840027,0.9644315838813782,0.9665886163711548,0.9656017422676086,0.9677078723907471
140,0.9691786170005798,0.9706322550773621,0.9714653491973877,0.9700934290885925,0.9682018756866455,0.9699422717094421,0.9738653898239136,0.983407735824585,0.9896941184997559,0.9941727519035339,0.996461808681488,0.9976029396057129,0.9979454278945923,0.9992535710334778,1.000000238418579,0.9987725019454956,0.9951617121696472,0.9898698925971985,0.9833964109420776,0.9809677600860596,0.9768341183662415,0.9699435830116272,0.9675313234329224,0.9633082151412964,0.9617041349411011,0.9636991024017334,0.959989607334137,0.9557995796203613,0.9499832391738892,0.9492809772491455,0.9505136013031006,0.956913411617279,0.9638903141021729,0.9676744937896729,0.9683535695075989,0.9715541005134583
150,0.9718862771987915,0.9727609753608704,0.9737928509712219,0.9730151891708374,0.9713196158409119,0.9728647470474243,0.9761644005775452,0.9846278429031372,0.9898573756217957,0.9929580688476562,0.9941350817680359,0.9942896366119385,0.9941188097000122,0.9964429140090942,0.9987725019454956,1.000000238418579,0.9986488223075867,0.9947469234466553,0.9880902171134949,0.9847708344459534,0.9779030680656433,0.9686728119850159,0.9653247594833374,0.9598114490509033,0.9576777219772339,0.9605370163917542,0.9568192958831787,0.9522695541381836,0.9456561803817749,0.9448474645614624,0.9461737871170044,0.9536088109016418,0.9620188474655151,0.9677075743675232,0.9704628586769104,0.9747448563575745
160,0.9730642437934875,0.9732946157455444,0.9744668006896973,0.974338948726654,0.9728355407714844,0.973961353302002,0.9764257073402405,0.9835325479507446,0.9876505732536316,0.9894529581069946,0.9895758032798767,0.9888460636138916,0.9882679581642151,0.9913056492805481,0.9951617121696472,0.9986488223075867,1.000000238418579,0.9983630180358887,0.9926257729530334,0.9883224964141846,0.978675127029419,0.9671500325202942,0.9628082513809204,0.9562283158302307,0.9535753726959229,0.9569133520126343,0.9530434012413025,0.9482585787773132,0.9412839412689209,0.940563976764679,0.9421620965003967,0.9504410624504089,0.9600176215171814,0.9672311544418335,0.9716159701347351,0.9764924049377441
